cluster_id,avg_internal_distance
32,20.19896160328074
12,10.02505564325074
92,17.111442476908508
40,22.11449346405635
17,9.194990112970062
7,19.78836953840731
60,14.636641460572925
56,18.82352009017538
79,14.261767409735365
77,14.252951121919176
91,12.045757243970243
5,18.772559155607574
18,17.714096211710316
54,16.612385698678203
19,15.489292471741004
59,18.057799668052724
16,15.380062915235088
29,19.69132250939441
34,16.5011328095851
62,12.688230788578723
42,16.19038228741276
31,15.609071811070187
90,9.560943940932795
46,19.775960615074787
4,13.88111995317511
85,11.629115655529446
53,20.021431241124194
99,10.881724187945588
57,16.052819082036358
71,14.366212969308988
94,12.804270399205679
3,15.219645969713579
78,11.516518307259831
52,16.640233272014623
28,19.684663027511323
22,16.52786008180414
84,15.542680024952517
82,17.41679343701369
64,15.815178224499164
14,15.448525495030617
27,19.167533552384164
48,17.442723852052673
38,14.76704499908042
15,17.049950753520047
41,16.59372013873466
95,12.395489349413722
43,22.081135014188554
11,11.69544889809041
50,15.478479339458616
87,16.708808886750084
49,14.488186433012
33,18.522885158937413
6,10.92644354426671
93,11.833636361080691
35,16.97274382054741
0,14.702080387059588
30,18.825319997266078
68,18.108855508769825
76,11.913746069098597
86,12.918988473281113
58,16.889440776845333
81,12.512636524039223
88,15.0219457994754
21,10.163521671480993
97,13.327809262646728
55,20.147347332747863
23,16.110502191876428
39,14.866689840837127
80,10.593179413634466
83,17.078473381134945
51,13.215247602343819
8,19.08949446066887
24,18.934708427399865
61,15.185064210822409
69,10.371289279120996
37,14.822609134814755
9,14.136219256228516
66,15.259092344573535
26,15.145539588607368
98,13.351499760526536
25,11.983189020373482
44,10.948196010785901
2,18.082309875408892
73,7.765999213706363
13,15.64636285246999
63,11.098241081307828
75,14.082525326763667
45,11.683034901680664
70,14.771982880975004
36,11.090378365459008
72,11.400266341463047
65,15.30791283802168
47,13.289184557496117
74,12.900611191902211
67,9.451186876865581
1,16.357584427263117
10,10.18471963200646
20,8.428707743016137
96,11.779554557883241
89,10.605091080072912
