ori_region_ID,des_region_ID,demand
71,60,75501
32,5,70250
60,71,63986
32,94,63507
71,17,52799
71,25,44934
17,71,42414
25,71,36688
32,28,36429
82,15,34967
71,0,31614
60,17,30186
15,82,25875
5,32,24760
60,0,22222
94,32,22179
60,82,22067
94,5,21788
17,60,21682
28,32,16975
48,11,16805
71,82,16518
25,0,15887
25,57,15553
41,7,14787
5,94,14657
74,41,13238
71,57,12998
41,74,12600
11,97,11465
0,71,11447
44,3,10660
41,97,10643
14,95,9777
11,48,9740
25,60,9725
0,82,9340
7,41,9338
41,11,9282
49,58,9272
58,49,9040
82,60,8873
82,92,8787
71,15,8701
3,44,8634
0,60,8478
60,25,8289
44,75,8264
48,49,8205
82,0,8176
99,48,8107
82,71,8046
94,28,8013
28,94,7858
97,11,7760
71,48,7646
97,39,7555
80,5,7465
32,79,7319
5,80,7224
71,49,7162
94,80,7071
94,62,7018
82,58,6987
41,48,6858
49,0,6825
5,84,6786
11,41,6749
93,33,6696
41,71,6578
32,80,6390
49,48,6291
28,79,6215
97,41,6105
15,92,6027
71,41,5942
48,74,5907
48,57,5862
74,48,5641
28,5,5541
0,49,5503
82,49,5461
0,25,5445
48,41,5342
11,39,5339
41,27,5274
97,23,5189
60,15,5146
64,92,5111
48,97,5087
44,70,5073
48,99,4859
3,54,4669
74,11,4654
74,49,4607
5,28,4582
90,15,4543
32,50,4425
17,82,4389
15,71,4349
93,29,4320
48,71,4259
5,88,4254
57,25,4213
28,50,4144
49,71,4112
23,97,4065
79,28,3984
57,71,3945
38,68,3904
15,90,3895
25,82,3871
49,74,3850
68,38,3834
95,14,3819
80,94,3816
80,88,3803
50,2,3793
86,55,3776
58,82,3689
94,79,3637
65,13,3592
99,49,3565
25,49,3478
57,48,3471
50,28,3440
32,62,3423
5,22,3407
97,48,3357
49,82,3312
7,55,3288
25,48,3287
25,17,3286
80,46,3248
60,49,3243
64,58,3190
58,64,3180
87,65,3166
15,60,3136
86,23,3110
39,97,3096
72,84,3092
25,99,3046
14,30,3022
90,54,2975
2,50,2970
41,49,2959
41,55,2917
82,17,2858
71,97,2825
64,27,2782
92,15,2781
86,35,2769
41,23,2766
49,99,2732
65,27,2711
17,0,2662
48,39,2642
11,74,2518
87,36,2508
71,11,2494
38,12,2441
41,82,2433
65,87,2413
46,38,2398
32,84,2380
75,44,2377
71,74,2375
71,58,2362
3,70,2357
60,57,2354
71,92,2324
71,99,2317
30,2,2295
41,15,2290
32,46,2269
38,46,2269
44,54,2245
54,3,2238
70,44,2231
79,94,2216
93,53,2210
25,15,2209
41,86,2186
27,64,2164
60,48,2164
15,58,2161
92,82,2128
41,39,2100
54,90,2096
96,65,2085
49,64,2041
82,41,2033
49,41,2021
84,5,2020
93,68,2012
71,44,2004
65,64,2003
17,15,2000
88,5,1993
44,92,1973
49,15,1967
68,76,1967
80,32,1962
41,60,1961
46,31,1960
58,92,1955
22,84,1952
76,68,1950
15,0,1945
41,56,1929
0,17,1914
54,15,1914
65,96,1912
82,64,1912
72,88,1908
17,25,1905
32,2,1904
32,88,1880
74,27,1872
64,75,1839
5,72,1834
15,54,1819
94,46,1818
55,86,1815
15,49,1805
11,71,1801
13,65,1801
12,38,1799
46,80,1791
1,53,1784
96,56,1763
49,60,1753
44,71,1752
82,48,1728
13,64,1728
48,25,1725
41,64,1713
60,41,1712
71,64,1709
82,44,1701
48,82,1693
88,80,1687
70,3,1686
48,0,1678
0,15,1677
84,72,1667
39,11,1664
2,30,1663
82,25,1631
49,25,1630
44,15,1620
74,97,1598
44,13,1591
41,25,1587
79,16,1578
59,31,1577
0,58,1569
23,86,1568
82,90,1566
59,53,1566
48,60,1565
79,32,1565
64,13,1552
82,3,1503
92,64,1486
0,57,1484
94,88,1481
41,0,1477
65,56,1477
74,71,1472
62,94,1470
79,50,1459
44,82,1455
14,98,1450
58,15,1437
30,14,1431
41,29,1430
48,15,1423
5,62,1422
58,0,1420
80,62,1416
0,48,1412
99,0,1409
22,5,1408
13,75,1402
3,34,1397
15,17,1386
50,32,1380
5,46,1379
64,44,1376
29,56,1376
5,79,1375
79,62,1375
59,83,1353
41,44,1352
25,41,1348
18,69,1340
48,58,1338
7,97,1336
99,57,1336
94,16,1329
64,49,1324
79,83,1323
44,64,1319
46,16,1309
32,22,1305
32,38,1303
74,7,1289
72,5,1282
7,86,1271
86,41,1264
49,27,1260
81,40,1258
60,58,1257
33,93,1248
41,58,1243
32,68,1237
46,62,1233
3,15,1229
97,86,1226
68,29,1220
85,3,1217
55,7,1214
60,92,1213
83,63,1209
97,71,1207
7,23,1206
97,7,1204
82,54,1204
30,45,1200
76,38,1188
29,68,1178
49,57,1172
87,43,1171
43,36,1168
49,11,1165
41,65,1163
15,3,1161
5,50,1150
49,97,1150
64,71,1145
92,58,1143
35,86,1133
71,27,1131
94,50,1131
93,41,1130
32,16,1128
50,79,1122
15,44,1120
64,82,1109
59,1,1107
64,41,1106
28,2,1098
56,27,1091
3,85,1079
46,5,1077
75,92,1076
90,92,1074
17,48,1073
7,29,1072
74,64,1070
23,41,1069
78,52,1068
32,72,1065
41,57,1058
17,49,1056
3,75,1051
90,20,1051
71,39,1051
63,83,1050
57,99,1045
2,28,1044
7,56,1040
49,17,1036
97,74,1031
27,65,1030
94,84,1030
71,90,1027
11,49,1023
69,18,1009
88,72,1007
30,95,1005
86,97,1004
